image,cls,defect_px,pred_px,specificity,sensitivity,precision,F1_score,F2_score,DSC,F_beta,MAE,acc,MAE_prob,F_beta_corr,degenerate
exp6_num_291134,Blowhole,172,66,0.9998400127789808,0.3372093003650622,0.8787878654729112,0.48739537543827566,0.38461538543154455,0.48739496013699596,0.6411570527272432,0.0024314413265306123,0.9975685586734694,0.002425588135346371,0.6411570527272432,False
exp6_num_36280,Blowhole,330,259,0.9998395056574281,0.7606060583011938,0.969111965370224,0.8522921028736897,0.794806839901959,0.852292020624292,0.9114525948801419,0.0017338966836734694,0.9982661033163265,0.0017397242180366532,0.9114525948801419,False
exp5_num_346381,Blowhole,21,0,0.9999999999800618,0.0,0.0,1.0,1.1904761763038551e-08,4.761904535147403e-08,1.0,0.0004185267857142857,0.9995814732142857,0.00042279275106881355,0.0,True
exp2_num_36302,Blowhole,214,248,0.9990192546135259,0.9299065377107171,0.8024193516031478,0.8614719377090599,0.90126811603146,0.8614718617717059,0.8286356330061861,0.0012755102040816326,0.9987244897959183,0.0012733929941757532,0.8286356330061861,False
exp6_num_262705,Blowhole,55,39,0.9999999999800483,0.7090908961983474,0.999999974358975,0.8297873159800362,0.7528957538498233,0.8297872358533273,0.9135135778231672,0.00031887755102040814,0.9996811224489796,0.0003225451378714244,0.9135135778231672,False
exp4_num_51725,Blowhole,79,93,0.9997005808531508,0.9873417596539018,0.8387096684009713,0.9069767845820813,0.95354523238742,0.9069767447268794,0.8688946976825036,0.00031887755102040814,0.9996811224489796,0.0003216050121046823,0.8688946976825036,False
exp4_num_328029,Blowhole,42,40,0.9999601068935261,0.9047618832199552,0.9499999762500007,0.9268292851372855,0.9134615388775887,0.926829269185009,0.9391635260209141,0.00011957908163265306,0.9998804209183674,0.00012373806507088529,0.9391635260209141,False
exp4_num_4779,Blowhole,222,185,0.9998598710613793,0.801801798190082,0.9621621569612856,0.8746929414318286,0.829450139953914,0.8746928750007547,0.9197139003529848,0.001016422193877551,0.9989835778061225,0.0010096885640984098,0.9197139003529848,False
exp6_num_308130,Blowhole,29,26,0.999960117235329,0.8275861783590973,0.9230768875739658,0.8727273136914404,0.8450704236262646,0.8727272750413223,0.8991355043213349,0.00013950892857142856,0.9998604910714286,0.00013399364609541914,0.8991355043213349,False
exp3_num_85897,Crack,121,94,0.9994605933273507,0.5537190036882728,0.7127659498641921,0.6232561056278251,0.5795847758138671,0.6232558157057869,0.668457831266311,0.0016143176020408164,0.9983856823979592,0.001644748785327555,0.668457831266311,False
exp4_num_88149,Crack,166,120,0.999999999980004,0.7228915619102918,0.9999999916666668,0.8391609266467296,0.765306122748334,0.8391608397232139,0.9187279876137097,0.0009167729591836735,0.9990832270408163,0.0009387828922811101,0.9187279876137097,False
exp5_num_88170,Crack,133,130,0.9987810482785049,0.5187969885804737,0.5307692266863906,0.5247152777463088,0.5211480369771178,0.5247148307045063,0.5279583142891393,0.0024912308673469387,0.9975087691326531,0.0025177441678004724,0.5279583142891393,False
